slot_no	id	group_id	group_name	name	status	json_created	photo_placed	source_checked	reviewed	source_page	notes
1	hr-0216	g03-proportional	比例代表型	関健一郎	verified	yes	yes	yes	yes	41	関健一郎。sourcePage 41。career と UI 確認完了。
2	hr-0217	g01-single-basic	小選挙区基本型	関芳弘	verified	yes	yes	yes	yes	41	関芳弘。sourcePage 41。career と UI 確認完了。
3	hr-0218	g03-proportional	比例代表型	世古万美子	verified	yes	yes	yes	yes	41	世古万美子。sourcePage 41。career と UI 確認完了。
4	hr-0219	g01-single-basic	小選挙区基本型	高木啓	verified	yes	yes	yes	yes	42	高木啓。sourcePage 42。career と UI 確認完了。
5	hr-0220	g01-single-basic	小選挙区基本型	高木宏寿	verified	yes	yes	yes	yes	42	高木宏寿。sourcePage 42。career と UI 確認完了。
6	hr-0221	g03-proportional	比例代表型	高沢一基	verified	yes	yes	yes	yes	42	高沢一基。sourcePage 42。career と UI 確認完了。
7	hr-0222	g01-single-basic	小選挙区基本型	平将明	verified	yes	yes	yes	yes	42	平将明。sourcePage 42。career と UI 確認完了。
8	hr-0223	g01-single-basic	小選挙区基本型	高市早苗	verified	yes	yes	yes	yes	42	高市早苗。sourcePage 42。career と UI 確認完了。
9	hr-0224	g01-single-basic	小選挙区基本型	高階恵美子	verified	yes	yes	yes	yes	42	高階恵美子。sourcePage 42。career と UI 確認完了。
10	hr-0225	g01-single-basic	小選挙区基本型	高見亮	verified	yes	yes	yes	yes	43	高見亮。sourcePage 43。career と UI 確認完了。
11	hr-0226	g03-proportional	比例代表型	高山聡史	verified	yes	yes	yes	yes	43	高山聡史。sourcePage 43。career と UI 確認完了。
12	hr-0227	g03-proportional	比例代表型	武井俊輔	verified	yes	yes	yes	yes	43	武井俊輔。sourcePage 43。career と UI 確認完了。
13	hr-0228	g01-single-basic	小選挙区基本型	高鳥修一	verified	yes	yes	yes	yes	43	高鳥修一。sourcePage 43。career と UI 確認完了。
14	hr-0229	g01-single-basic	小選挙区基本型	高橋祐介	verified	yes	yes	yes	yes	43	高橋祐介。sourcePage 43。career と UI 確認完了。
15	hr-0230	g01-single-basic	小選挙区基本型	高見康裕	verified	yes	yes	yes	yes	43	高見康裕。sourcePage 43。career と UI 確認完了。
16	hr-0231	g03-proportional	比例代表型	田嶋要	verified	yes	yes	yes	yes	44	田嶋要。sourcePage 44。career と UI 確認完了。
17	hr-0232	g01-single-basic	小選挙区基本型	橘慶一郎	verified	yes	yes	yes	yes	44	橘慶一郎。sourcePage 44。career と UI 確認完了。
18	hr-0233	g03-proportional	比例代表型	辰巳孝太郎	verified	yes	yes	yes	yes	44	辰巳孝太郎。sourcePage 44。career と UI 確認完了。
19	hr-0234	g01-single-basic	小選挙区基本型	武田良太	verified	yes	yes	yes	yes	44	武田良太。sourcePage 44。career と UI 確認完了。
20	hr-0235	g01-single-basic	小選挙区基本型	武部新	verified	yes	yes	yes	yes	44	武部新。sourcePage 44。career と UI 確認完了。
21	hr-0236	g01-single-basic	小選挙区基本型	武村展英	verified	yes	yes	yes	yes	44	武村展英。sourcePage 44。career と UI 確認完了。
22	hr-0237	g03-proportional	比例代表型	田中昌史	verified	yes	yes	yes	yes	45	田中昌史。sourcePage 45。career と UI 確認完了。
23	hr-0238	g01-single-basic	小選挙区基本型	田中良生	verified	yes	yes	yes	yes	45	田中良生。sourcePage 45。career と UI 確認完了。
24	hr-0239	g01-single-basic	小選挙区基本型	棚橋泰文	verified	yes	yes	yes	yes	45	棚橋泰文。sourcePage 45。career と UI 確認完了。
25	hr-0240	g01-single-basic	小選挙区基本型	田所嘉徳	verified	yes	yes	yes	yes	45	田所嘉徳。sourcePage 45。career と UI 確認完了。
