slot_no	id	group_id	group_name	name	status	json_created	photo_placed	source_checked	reviewed	source_page	notes
1	hr-0141	g03-proportional	比例代表型	金城泰邦	verified	yes	yes	yes	yes	28	金城泰邦。sourcePage 28。career と UI 確認完了。
2	hr-0142	g01-single-basic	小選挙区基本型	木原誠二	verified	yes	yes	yes	yes	28	木原誠二。sourcePage 28。career と UI 確認完了。
3	hr-0143	g01-single-basic	小選挙区基本型	草間剛	verified	yes	yes	yes	yes	28	草間剛。sourcePage 28。career と UI 確認完了。
4	hr-0144	g01-single-basic	小選挙区基本型	木原稔	verified	yes	yes	yes	yes	28	木原稔。sourcePage 28。career と UI 確認完了。
5	hr-0145	g03-proportional	比例代表型	国重徹	verified	yes	yes	yes	yes	29	国重徹。sourcePage 29。career と UI 確認完了。
6	hr-0146	g01-single-basic	小選挙区基本型	国光文乃	verified	yes	yes	yes	yes	29	国光文乃。sourcePage 29。career と UI 確認完了。
7	hr-0147	g01-single-basic	小選挙区基本型	工藤彰三	verified	yes	yes	yes	yes	29	工藤彰三。sourcePage 29。career と UI 確認完了。
8	hr-0148	g03-proportional	比例代表型	工藤聖子	verified	yes	yes	yes	yes	29	工藤聖子。sourcePage 29。career と UI 確認完了。
9	hr-0149	g03-proportional	比例代表型	熊田裕通	verified	yes	yes	yes	yes	29	熊田裕通。sourcePage 29。career と UI 確認完了。
10	hr-0150	g01-single-basic	小選挙区基本型	国定勇人	verified	yes	yes	yes	yes	29	国定勇人。sourcePage 29。career と UI 確認完了。
11	hr-0151	g01-single-basic	小選挙区基本型	小池正昭	verified	yes	yes	yes	yes	30	小池正昭。sourcePage 30。career と UI 確認完了。
12	hr-0152	g01-single-basic	小選挙区基本型	小泉進次郎	verified	yes	yes	yes	yes	30	小泉進次郎。sourcePage 30。career と UI 確認完了。
13	hr-0153	g01-single-basic	小選挙区基本型	栗原渉	verified	yes	yes	yes	yes	30	栗原渉。sourcePage 30。career と UI 確認完了。
14	hr-0154	g01-single-basic	小選挙区基本型	黒崎祐一	verified	yes	yes	yes	yes	30	黒崎祐一。sourcePage 30。career と UI 確認完了。
15	hr-0155	g01-single-basic	小選挙区基本型	小泉龍司	verified	yes	yes	yes	yes	30	小泉龍司。sourcePage 30。career と UI 確認完了。
16	hr-0156	g01-single-basic	小選挙区基本型	黒田征樹	verified	yes	yes	yes	yes	30	黒田征樹。sourcePage 30。career と UI 確認完了。
17	hr-0157	g01-single-basic	小選挙区基本型	古賀篤	verified	yes	yes	yes	yes	31	古賀篤。sourcePage 31。career と UI 確認完了。
18	hr-0158	g01-single-basic	小選挙区基本型	国場幸之助	verified	yes	yes	yes	yes	31	国場幸之助。sourcePage 31。career と UI 確認完了。
19	hr-0159	g01-single-basic	小選挙区基本型	河野太郎	verified	yes	yes	yes	yes	31	河野太郎。sourcePage 31。career と UI 確認完了。
20	hr-0160	g01-single-basic	小選挙区基本型	高村正大	verified	yes	yes	yes	yes	31	高村正大。sourcePage 31。career と UI 確認完了。
21	hr-0161	g03-proportional	比例代表型	輿水恵一	verified	yes	yes	yes	yes	31	輿水恵一。sourcePage 31。career と UI 確認完了。
22	hr-0162	g03-proportional	比例代表型	高麗啓一郎	verified	yes	yes	yes	yes	31	高麗啓一郎。sourcePage 31。career と UI 確認完了。
23	hr-0163	g03-proportional	比例代表型	許斐亮太郎	verified	yes	yes	yes	yes	32	許斐亮太郎。sourcePage 32。career と UI 確認完了。
24	hr-0164	g01-single-basic	小選挙区基本型	小林茂樹	verified	yes	yes	yes	yes	32	小林茂樹。sourcePage 32。career と UI 確認完了。
25	hr-0165	g03-proportional	比例代表型	小寺裕雄	verified	yes	yes	yes	yes	32	小寺裕雄。sourcePage 32。career と UI 確認完了。
