slot_no	id	group_id	group_name	name	status	json_created	photo_placed	source_checked	reviewed	source_page	notes
1	hr-0416	g01-single-basic	小選挙区基本型	山下史守朗	verified	yes	yes	yes	yes	75	山下史守朗。sourcePage 75。career と UI 確認完了。
2	hr-0417	g01-single-basic	小選挙区基本型	山際大志郎	verified	yes	yes	yes	yes	75	山際大志郎。sourcePage 75。career と UI 確認完了。
3	hr-0418	g01-single-basic	小選挙区基本型	山口俊一	verified	yes	yes	yes	yes	75	山口俊一。sourcePage 75。career と UI 確認完了。
4	hr-0419	g01-single-basic	小選挙区基本型	山口晋	verified	yes	yes	yes	yes	75	山口晋。sourcePage 75。career と UI 確認完了。
5	hr-0420	g01-single-basic	小選挙区基本型	山田美樹	verified	yes	yes	yes	yes	76	山田美樹。sourcePage 76。career と UI 確認完了。
6	hr-0421	g01-single-basic	小選挙区基本型	山田基靖	verified	yes	yes	yes	yes	76	山田基靖。sourcePage 76。career と UI 確認完了。
7	hr-0422	g03-proportional	比例代表型	山本香苗	verified	yes	yes	yes	yes	76	山本香苗。sourcePage 76。career と UI 確認完了。
8	hr-0423	g01-single-basic	小選挙区基本型	山下貴司	verified	yes	yes	yes	yes	76	山下貴司。sourcePage 76。career と UI 確認完了。
9	hr-0424	g03-proportional	比例代表型	山田瑛理	verified	yes	yes	yes	yes	76	山田瑛理。sourcePage 76。career と UI 確認完了。
10	hr-0425	g01-single-basic	小選挙区基本型	山田賢司	verified	yes	yes	yes	yes	76	山田賢司。sourcePage 76。career と UI 確認完了。
11	hr-0426	g01-single-basic	小選挙区基本型	山本大地	verified	yes	yes	yes	yes	77	山本大地。sourcePage 77。career と UI 確認完了。
12	hr-0427	g03-proportional	比例代表型	山本左近	verified	yes	yes	yes	yes	77	山本左近。sourcePage 77。career と UI 確認完了。
13	hr-0428	g03-proportional	比例代表型	横田光弘	verified	yes	yes	yes	yes	77	横田光弘。sourcePage 77。career と UI 確認完了。
14	hr-0429	g01-single-basic	小選挙区基本型	山本裕三	verified	yes	yes	yes	yes	77	山本裕三。sourcePage 77。career と UI 確認完了。
15	hr-0430	g03-proportional	比例代表型	山本譲司	verified	yes	yes	yes	yes	77	山本譲司。sourcePage 77。career と UI 確認完了。
16	hr-0431	g01-single-basic	小選挙区基本型	山本深	verified	yes	yes	yes	yes	77	山本深。sourcePage 77。career と UI 確認完了。
17	hr-0432	g03-proportional	比例代表型	吉田有理	verified	yes	yes	yes	yes	78	吉田有理。sourcePage 78。career と UI 確認完了。
18	hr-0433	g01-single-basic	小選挙区基本型	吉村悠	verified	yes	yes	yes	yes	78	吉村悠。sourcePage 78。career と UI 確認完了。
19	hr-0434	g03-proportional	比例代表型	米内紘正	verified	yes	yes	yes	yes	78	米内紘正。sourcePage 78。career と UI 確認完了。
20	hr-0435	g03-proportional	比例代表型	吉川里奈	verified	yes	yes	yes	yes	78	吉川里奈。sourcePage 78。career と UI 確認完了。
21	hr-0436	g03-proportional	比例代表型	吉田真次	verified	yes	yes	yes	yes	78	吉田真次。sourcePage 78。career と UI 確認完了。
22	hr-0437	g03-proportional	比例代表型	吉田宣弘	verified	yes	yes	yes	yes	78	吉田宣弘。sourcePage 78。career と UI 確認完了。
23	hr-0438	g01-single-basic	小選挙区基本型	若宮健嗣	verified	yes	yes	yes	yes	79	若宮健嗣。sourcePage 79。career と UI 確認完了。
24	hr-0439	g01-single-basic	小選挙区基本型	若山慎司	verified	yes	yes	yes	yes	79	若山慎司。sourcePage 79。career と UI 確認完了。
25	hr-0440	g01-single-basic	小選挙区基本型	鷲尾英一郎	verified	yes	yes	yes	yes	79	鷲尾英一郎。sourcePage 79。career と UI 確認完了。
