slot_no	id	group_id	group_name	name	status	json_created	photo_placed	source_checked	reviewed	source_page	notes
1	hr-0191	g03-proportional	比例代表型	島村薫	verified	yes	yes	yes	yes	37	島村薫。sourcePage 37。career と UI 確認完了。
2	hr-0192	g03-proportional	比例代表型	繁本護	verified	yes	yes	yes	yes	37	繁本護。sourcePage 37。career と UI 確認完了。
3	hr-0193	g01-single-basic	小選挙区基本型	階猛	verified	yes	yes	yes	yes	37	階猛。sourcePage 37。career と UI 確認完了。
4	hr-0194	g01-single-basic	小選挙区基本型	柴山昌彦	verified	yes	yes	yes	yes	37	柴山昌彦。sourcePage 37。career と UI 確認完了。
5	hr-0195	g01-single-basic	小選挙区基本型	新谷正義	verified	yes	yes	yes	yes	38	新谷正義。sourcePage 38。career と UI 確認完了。
6	hr-0196	g01-single-basic	小選挙区基本型	新藤義孝	verified	yes	yes	yes	yes	38	新藤義孝。sourcePage 38。career と UI 確認完了。
7	hr-0197	g01-single-basic	小選挙区基本型	菅原一秀	verified	yes	yes	yes	yes	38	菅原一秀。sourcePage 38。career と UI 確認完了。
8	hr-0198	g01-single-basic	小選挙区基本型	下村博文	verified	yes	yes	yes	yes	38	下村博文。sourcePage 38。career と UI 確認完了。
9	hr-0199	g03-proportional	比例代表型	庄子賢一	verified	yes	yes	yes	yes	38	庄子賢一。sourcePage 38。career と UI 確認完了。
10	hr-0200	g03-proportional	比例代表型	白坂亜紀	verified	yes	yes	yes	yes	38	白坂亜紀。sourcePage 38。career と UI 確認完了。
11	hr-0201	g03-proportional	比例代表型	鈴木淳司	verified	yes	yes	yes	yes	39	鈴木淳司。sourcePage 39。career と UI 確認完了。
12	hr-0202	g01-single-basic	小選挙区基本型	鈴木貴子	verified	yes	yes	yes	yes	39	鈴木貴子。sourcePage 39。career と UI 確認完了。
13	hr-0203	g03-proportional	比例代表型	鈴木拓海	verified	yes	yes	yes	yes	39	鈴木拓海。sourcePage 39。career と UI 確認完了。
14	hr-0204	g01-single-basic	小選挙区基本型	鈴木英敬	verified	yes	yes	yes	yes	39	鈴木英敬。sourcePage 39。career と UI 確認完了。
15	hr-0205	g01-single-basic	小選挙区基本型	鈴木馨祐	verified	yes	yes	yes	yes	39	鈴木馨祐。sourcePage 39。career と UI 確認完了。
16	hr-0206	g01-single-basic	小選挙区基本型	鈴木俊一	verified	yes	yes	yes	yes	39	鈴木俊一。sourcePage 39。career と UI 確認完了。
17	hr-0207	g03-proportional	比例代表型	鈴木義弘	verified	yes	yes	yes	yes	40	鈴木義弘。sourcePage 40。career と UI 確認完了。
18	hr-0208	g03-proportional	比例代表型	須田英太郎	verified	yes	yes	yes	yes	40	須田英太郎。sourcePage 40。career と UI 確認完了。
19	hr-0209	g03-proportional	比例代表型	住吉寛紀	verified	yes	yes	yes	yes	40	住吉寛紀。sourcePage 40。career と UI 確認完了。
20	hr-0210	g01-single-basic	小選挙区基本型	鈴木憲和	verified	yes	yes	yes	yes	40	鈴木憲和。sourcePage 40。career と UI 確認完了。
21	hr-0211	g01-single-basic	小選挙区基本型	鈴木隼人	verified	yes	yes	yes	yes	40	鈴木隼人。sourcePage 40。career と UI 確認完了。
22	hr-0212	g03-proportional	比例代表型	鈴木美香	verified	yes	yes	yes	yes	40	鈴木美香。sourcePage 40。career と UI 確認完了。
23	hr-0213	g01-single-basic	小選挙区基本型	世耕弘成	verified	yes	yes	yes	yes	41	世耕弘成。sourcePage 41。career と UI 確認完了。
24	hr-0214	g03-proportional	比例代表型	瀬戸隆一	verified	yes	yes	yes	yes	41	瀬戸隆一。sourcePage 41。career と UI 確認完了。
25	hr-0215	g01-single-basic	小選挙区基本型	園崎弘道	verified	yes	yes	yes	yes	41	園崎弘道。sourcePage 41。career と UI 確認完了。
