slot_no	id	group_id	group_name	name	status	json_created	photo_placed	source_checked	reviewed	source_page	notes
1	hr-0441	g03-proportional	比例代表型	笠浩史	verified	yes	yes	yes	yes	79	笠浩史。sourcePage 79。career と UI 確認完了。
2	hr-0442	g03-proportional	比例代表型	若狭清史	verified	yes	yes	yes	yes	79	若狭清史。sourcePage 79。career と UI 確認完了。
3	hr-0443	g01-single-basic	小選挙区基本型	若林健太	verified	yes	yes	yes	yes	79	若林健太。sourcePage 79。career と UI 確認完了。
4	hr-0444	g03-proportional	比例代表型	渡辺藍理	verified	yes	yes	yes	yes	80	渡辺藍理。sourcePage 80。career と UI 確認完了。
5	hr-0445	g01-single-basic	小選挙区基本型	渡辺勝幸	verified	yes	yes	yes	yes	80	渡辺勝幸。sourcePage 80。career と UI 確認完了。
6	hr-0446	g03-proportional	比例代表型	渡辺孝一	verified	yes	yes	yes	yes	80	渡辺孝一。sourcePage 80。career と UI 確認完了。
7	hr-0447	g03-proportional	比例代表型	早稲田夕季	verified	yes	yes	yes	yes	80	早稲田夕季。sourcePage 80。career と UI 確認完了。
8	hr-0448	g03-proportional	比例代表型	和田政宗	verified	yes	yes	yes	yes	80	和田政宗。sourcePage 80。career と UI 確認完了。
9	hr-0449	g01-single-basic	小選挙区基本型	和田義明	verified	yes	yes	yes	yes	80	和田義明。sourcePage 80。career と UI 確認完了。
10	hr-0450	g01-single-basic	小選挙区基本型	渡辺真太朗	verified	yes	yes	yes	yes	81	渡辺真太朗。sourcePage 81。career と UI 確認完了。
11	hr-0451	g01-single-basic	小選挙区基本型	渡辺創	verified	yes	yes	yes	yes	81	渡辺創。sourcePage 81。career と UI 確認完了。
12	hr-0452	g01-single-basic	小選挙区基本型	渡辺博道	verified	yes	yes	yes	yes	81	渡辺博道。sourcePage 81。career と UI 確認完了。
