slot_no	id	group_id	group_name	name	status	json_created	photo_placed	source_checked	reviewed	source_page	notes
1	hr-0001	g01-single-basic	小選挙区基本型	青山繁晴	verified	yes	yes	yes	yes	4	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
2	hr-0002	g01-single-basic	小選挙区基本型	逢沢一郎	verified	yes	yes	yes	yes	4	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
3	hr-0003	g01-single-basic	小選挙区基本型	青山周平	verified	yes	yes	yes	yes	4	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
4	hr-0005	g01-single-basic	小選挙区基本型	赤沢亮正	verified	yes	yes	yes	yes	4	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
5	hr-0010	g01-single-basic	小選挙区基本型	赤間二郎	verified	yes	yes	yes	yes	5	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
6	hr-0011	g01-single-basic	小選挙区基本型	東国幹	verified	yes	yes	yes	yes	5	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
7	hr-0016	g01-single-basic	小選挙区基本型	畦元将吾	verified	yes	yes	yes	yes	6	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
8	hr-0018	g01-single-basic	小選挙区基本型	麻生太郎	verified	yes	yes	yes	yes	6	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
9	hr-0006	g02-single-variant	小選挙区変動型	青柳仁士	verified	yes	yes	yes	yes	4	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
10	hr-0009	g02-single-variant	小選挙区変動型	浅野哲	verified	yes	yes	yes	yes	5	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
11	hr-0013	g02-single-variant	小選挙区変動型	阿部圭史	verified	yes	yes	yes	yes	6	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
12	hr-0014	g02-single-variant	小選挙区変動型	東徹	verified	yes	yes	yes	yes	6	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
13	hr-0004	g03-proportional	比例代表型	青木ひとみ	verified	yes	yes	yes	yes	4	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
14	hr-0007	g03-proportional	比例代表型	浅田真澄美	verified	yes	yes	yes	yes	5	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
15	hr-0008	g03-proportional	比例代表型	赤羽一嘉	verified	yes	yes	yes	yes	5	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
16	hr-0012	g03-proportional	比例代表型	秋葉賢也	verified	yes	yes	yes	yes	5	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
17	hr-0015	g03-proportional	比例代表型	阿部司	verified	yes	yes	yes	yes	6	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
18	hr-0017	g03-proportional	比例代表型	阿部俊子	verified	yes	yes	yes	yes	6	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
19	hr-0019	g03-proportional	比例代表型	飯泉嘉門	verified	yes	yes	yes	yes	7	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
20	hr-0020	g03-proportional	比例代表型	阿部弘樹	verified	yes	yes	yes	yes	7	members.pdf の掲載情報を転記。単語帳用20名セットとして作成。UI通し確認は未実施。
