slot_no	id	group_id	group_name	name	status	json_created	photo_placed	source_checked	reviewed	source_page	notes
1	hr-0391	g01-single-basic	小選挙区基本型	向山淳	verified	yes	yes	yes	yes	71	向山淳。sourcePage 71。career と UI 確認完了。
2	hr-0392	g03-proportional	比例代表型	向山好一	verified	yes	yes	yes	yes	71	向山好一。sourcePage 71。career と UI 確認完了。
3	hr-0393	g01-single-basic	小選挙区基本型	宮内秀樹	verified	yes	yes	yes	yes	71	宮内秀樹。sourcePage 71。career と UI 確認完了。
4	hr-0394	g01-single-basic	小選挙区基本型	宮崎政久	verified	yes	yes	yes	yes	71	宮崎政久。sourcePage 71。career と UI 確認完了。
5	hr-0395	g01-single-basic	小選挙区基本型	宮路拓馬	verified	yes	yes	yes	yes	71	宮路拓馬。sourcePage 71。career と UI 確認完了。
6	hr-0396	g01-single-basic	小選挙区基本型	村井英樹	verified	yes	yes	yes	yes	72	村井英樹。sourcePage 72。career と UI 確認完了。
7	hr-0397	g01-single-basic	小選挙区基本型	村岡敏英	verified	yes	yes	yes	yes	72	村岡敏英。sourcePage 72。career と UI 確認完了。
8	hr-0398	g03-proportional	比例代表型	村上誠一郎	verified	yes	yes	yes	yes	72	村上誠一郎。sourcePage 72。career と UI 確認完了。
9	hr-0399	g03-proportional	比例代表型	武藤かず子	verified	yes	yes	yes	yes	72	武藤かず子。sourcePage 72。career と UI 確認完了。
10	hr-0400	g01-single-basic	小選挙区基本型	武藤容治	verified	yes	yes	yes	yes	72	武藤容治。sourcePage 72。career と UI 確認完了。
11	hr-0401	g03-proportional	比例代表型	宗清皇一	verified	yes	yes	yes	yes	72	宗清皇一。sourcePage 72。career と UI 確認完了。
12	hr-0402	g01-single-basic	小選挙区基本型	森英介	verified	yes	yes	yes	yes	73	森英介。sourcePage 73。career と UI 確認完了。
13	hr-0403	g03-proportional	比例代表型	森洋介	verified	yes	yes	yes	yes	73	森洋介。sourcePage 73。career と UI 確認完了。
14	hr-0404	g01-single-basic	小選挙区基本型	森下千里	verified	yes	yes	yes	yes	73	森下千里。sourcePage 73。career と UI 確認完了。
15	hr-0405	g03-proportional	比例代表型	村上智信	verified	yes	yes	yes	yes	73	村上智信。sourcePage 73。career と UI 確認完了。
16	hr-0406	g03-proportional	比例代表型	村木汀	verified	yes	yes	yes	yes	73	村木汀。sourcePage 73。career と UI 確認完了。
17	hr-0407	g01-single-basic	小選挙区基本型	茂木敏充	verified	yes	yes	yes	yes	73	茂木敏充。sourcePage 73。career と UI 確認完了。
18	hr-0408	g03-proportional	比例代表型	保岡宏武	verified	yes	yes	yes	yes	74	保岡宏武。sourcePage 74。career と UI 確認完了。
19	hr-0409	g03-proportional	比例代表型	簗和生	verified	yes	yes	yes	yes	74	簗和生。sourcePage 74。career と UI 確認完了。
20	hr-0410	g03-proportional	比例代表型	山岡達丸	verified	yes	yes	yes	yes	74	山岡達丸。sourcePage 74。career と UI 確認完了。
21	hr-0411	g03-proportional	比例代表型	森原紀代子	verified	yes	yes	yes	yes	74	森原紀代子。sourcePage 74。career と UI 確認完了。
22	hr-0412	g01-single-basic	小選挙区基本型	森山裕	verified	yes	yes	yes	yes	74	森山裕。sourcePage 74。career と UI 確認完了。
23	hr-0413	g01-single-basic	小選挙区基本型	盛山正仁	verified	yes	yes	yes	yes	74	盛山正仁。sourcePage 74。career と UI 確認完了。
24	hr-0414	g01-single-basic	小選挙区基本型	山口壮	verified	yes	yes	yes	yes	75	山口壮。sourcePage 75。career と UI 確認完了。
25	hr-0415	g03-proportional	比例代表型	山崎正恭	verified	yes	yes	yes	yes	75	山崎正恭。sourcePage 75。career と UI 確認完了。
