slot_no	id	group_id	group_name	name	status	json_created	photo_placed	source_checked	reviewed	source_page	notes
1	hr-0116	g01-single-basic	小選挙区基本型	金沢結衣	verified	yes	yes	yes	yes	24	金沢結衣。sourcePage 24。career と UI 確認完了。
2	hr-0117	g03-proportional	比例代表型	金村龍那	verified	yes	yes	yes	yes	24	金村龍那。sourcePage 24。career と UI 確認完了。
3	hr-0118	g03-proportional	比例代表型	金子恵美	verified	yes	yes	yes	yes	24	金子恵美。sourcePage 24。career と UI 確認完了。
4	hr-0119	g01-single-basic	小選挙区基本型	上川陽子	verified	yes	yes	yes	yes	24	上川陽子。sourcePage 24。career と UI 確認完了。
5	hr-0120	g01-single-basic	小選挙区基本型	金子恭之	verified	yes	yes	yes	yes	24	金子恭之。sourcePage 24。career と UI 確認完了。
6	hr-0121	g03-proportional	比例代表型	河合道雄	verified	yes	yes	yes	yes	25	河合道雄。sourcePage 25。career と UI 確認完了。
7	hr-0122	g01-single-basic	小選挙区基本型	神谷裕	verified	yes	yes	yes	yes	25	神谷裕。sourcePage 25。career と UI 確認完了。
8	hr-0123	g01-single-basic	小選挙区基本型	川崎秀人	verified	yes	yes	yes	yes	25	川崎秀人。sourcePage 25。career と UI 確認完了。
9	hr-0124	g03-proportional	比例代表型	川裕一郎	verified	yes	yes	yes	yes	25	川裕一郎。sourcePage 25。career と UI 確認完了。
10	hr-0125	g03-proportional	比例代表型	河野正美	verified	yes	yes	yes	yes	25	河野正美。sourcePage 25。career と UI 確認完了。
11	hr-0126	g03-proportional	比例代表型	河井昭成	verified	yes	yes	yes	yes	25	河井昭成。sourcePage 25。career と UI 確認完了。
12	hr-0127	g03-proportional	比例代表型	菅家一郎	verified	yes	yes	yes	yes	26	菅家一郎。sourcePage 26。career と UI 確認完了。
13	hr-0128	g03-proportional	比例代表型	河野義博	verified	yes	yes	yes	yes	26	河野義博。sourcePage 26。career と UI 確認完了。
14	hr-0129	g01-single-basic	小選挙区基本型	神田潤一	verified	yes	yes	yes	yes	26	神田潤一。sourcePage 26。career と UI 確認完了。
15	hr-0130	g01-single-basic	小選挙区基本型	川松真一朗	verified	yes	yes	yes	yes	26	川松真一朗。sourcePage 26。career と UI 確認完了。
16	hr-0131	g01-single-basic	小選挙区基本型	城内実	verified	yes	yes	yes	yes	26	城内実。sourcePage 26。career と UI 確認完了。
17	hr-0132	g01-single-basic	小選挙区基本型	河村たかし	verified	yes	yes	yes	yes	26	河村たかし。sourcePage 26。career と UI 確認完了。
18	hr-0133	g01-single-basic	小選挙区基本型	岸田文雄	verified	yes	yes	yes	yes	27	岸田文雄。sourcePage 27。career と UI 確認完了。
19	hr-0134	g01-single-basic	小選挙区基本型	黄川田仁志	verified	yes	yes	yes	yes	27	黄川田仁志。sourcePage 27。career と UI 確認完了。
20	hr-0135	g03-proportional	比例代表型	喜多義典	verified	yes	yes	yes	yes	27	喜多義典。sourcePage 27。career と UI 確認完了。
21	hr-0136	g03-proportional	比例代表型	菊田真紀子	verified	yes	yes	yes	yes	27	菊田真紀子。sourcePage 27。career と UI 確認完了。
22	hr-0137	g01-single-basic	小選挙区基本型	北神圭朗	verified	yes	yes	yes	yes	27	北神圭朗。sourcePage 27。career と UI 確認完了。
23	hr-0138	g01-single-basic	小選挙区基本型	岸信千世	verified	yes	yes	yes	yes	27	岸信千世。sourcePage 27。career と UI 確認完了。
24	hr-0139	g01-single-basic	小選挙区基本型	木村次郎	verified	yes	yes	yes	yes	28	木村次郎。sourcePage 28。career と UI 確認完了。
25	hr-0140	g03-proportional	比例代表型	木下敏之	verified	yes	yes	yes	yes	28	木下敏之。sourcePage 28。career と UI 確認完了。
