slot_no	id	group_id	group_name	name	status	json_created	photo_placed	source_checked	reviewed	source_page	notes
1	hr-0166	g03-proportional	比例代表型	近藤和也	verified	yes	yes	yes	yes	33	近藤和也。sourcePage 33。career と UI 確認完了。
2	hr-0167	g03-proportional	比例代表型	近藤雅彦	verified	yes	yes	yes	yes	33	近藤雅彦。sourcePage 33。career と UI 確認完了。
3	hr-0168	g01-single-basic	小選挙区基本型	小林鷹之	verified	yes	yes	yes	yes	33	小林鷹之。sourcePage 33。career と UI 確認完了。
4	hr-0169	g01-single-basic	小選挙区基本型	小林史明	verified	yes	yes	yes	yes	33	小林史明。sourcePage 33。career と UI 確認完了。
5	hr-0170	g01-single-basic	小選挙区基本型	小森卓郎	verified	yes	yes	yes	yes	33	小森卓郎。sourcePage 33。career と UI 確認完了。
6	hr-0171	g01-single-basic	小選挙区基本型	斎藤健	verified	yes	yes	yes	yes	34	斎藤健。sourcePage 34。career と UI 確認完了。
7	hr-0172	g03-proportional	比例代表型	斉藤鉄夫	verified	yes	yes	yes	yes	34	斉藤鉄夫。sourcePage 34。career と UI 確認完了。
8	hr-0173	g01-single-basic	小選挙区基本型	斎藤洋明	verified	yes	yes	yes	yes	34	斎藤洋明。sourcePage 34。career と UI 確認完了。
9	hr-0174	g01-single-basic	小選挙区基本型	斉木武志	verified	yes	yes	yes	yes	34	斉木武志。sourcePage 34。career と UI 確認完了。
10	hr-0175	g03-proportional	比例代表型	西條昌良	verified	yes	yes	yes	yes	34	西條昌良。sourcePage 34。career と UI 確認完了。
11	hr-0176	g03-proportional	比例代表型	斎藤アレックス	verified	yes	yes	yes	yes	34	斎藤アレックス。sourcePage 34。career と UI 確認完了。
12	hr-0177	g01-single-basic	小選挙区基本型	坂本竜太郎	verified	yes	yes	yes	yes	35	坂本竜太郎。sourcePage 35。career と UI 確認完了。
13	hr-0178	g01-single-basic	小選挙区基本型	笹川博義	verified	yes	yes	yes	yes	35	笹川博義。sourcePage 35。career と UI 確認完了。
14	hr-0179	g01-single-basic	小選挙区基本型	佐々木紀	verified	yes	yes	yes	yes	35	佐々木紀。sourcePage 35。career と UI 確認完了。
15	hr-0180	g03-proportional	比例代表型	斉藤里恵	verified	yes	yes	yes	yes	35	斉藤里恵。sourcePage 35。career と UI 確認完了。
16	hr-0181	g01-single-basic	小選挙区基本型	坂井学	verified	yes	yes	yes	yes	35	坂井学。sourcePage 35。career と UI 確認完了。
17	hr-0182	g01-single-basic	小選挙区基本型	坂本哲志	verified	yes	yes	yes	yes	35	坂本哲志。sourcePage 35。career と UI 確認完了。
18	hr-0183	g03-proportional	比例代表型	塩川鉄也	verified	yes	yes	yes	yes	36	塩川鉄也。sourcePage 36。career と UI 確認完了。
19	hr-0184	g01-single-basic	小選挙区基本型	塩崎彰久	verified	yes	yes	yes	yes	36	塩崎彰久。sourcePage 36。career と UI 確認完了。
20	hr-0185	g03-proportional	比例代表型	重徳和彦	verified	yes	yes	yes	yes	36	重徳和彦。sourcePage 36。career と UI 確認完了。
21	hr-0186	g03-proportional	比例代表型	佐々木真琴	verified	yes	yes	yes	yes	36	佐々木真琴。sourcePage 36。career と UI 確認完了。
22	hr-0187	g03-proportional	比例代表型	佐藤英道	verified	yes	yes	yes	yes	36	佐藤英道。sourcePage 36。career と UI 確認完了。
23	hr-0188	g01-single-basic	小選挙区基本型	佐藤主迪	verified	yes	yes	yes	yes	36	佐藤主迪。sourcePage 36。career と UI 確認完了。
24	hr-0189	g01-single-basic	小選挙区基本型	島尻安伊子	verified	yes	yes	yes	yes	37	島尻安伊子。sourcePage 37。career と UI 確認完了。
25	hr-0190	g03-proportional	比例代表型	島田智明	verified	yes	yes	yes	yes	37	島田智明。sourcePage 37。career と UI 確認完了。
