id	photo	name	party	election	district_block	career	json	ui	reviewer	result	notes
hr-0166	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0167	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0168	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0169	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0170	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0171	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0172	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0173	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0174	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0175	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0176	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0177	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0178	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0179	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0180	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0181	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0182	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0183	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0184	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0185	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0186	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0187	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0188	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0189	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
hr-0190	ok	ok	ok	ok	ok	ok	ok	ok	Codex	verified	PDF主要項目、career、UI確認まで完了。
